Gene,CDS_length
CUX1,4518.0
IVNS1ABP,1929.0
CTH,1218.0
KIAA0430,5229.0
SLC4A4,3108.0
IRF2,1050.0
FTSJD1,2313.0
TNRC6A,5889.0
STIP1,1632.0
BIN2,1698.0
MMP10,1431.0
UBE2T,594.0
INPP4B,2775.0
SF1,1920.0
CNTLN,4221.0
FIP1L1,1785.0
BRMS1,741.0
RC3H2,3576.0
DNM1L,2211.0
KRTAP19-2,159.0
MAP4K5,2541.0
NAA15,2601.0
C15ORF39,3144.0
TCEB3CL,1641.0
PCNX,7026.0
KRTAP9-8,480.0
RASAL2,3810.0
YBX2,1095.0
KLRG1,570.0
SLC35B2,1299.0
TTK,2574.0
TFDP2,1161.0
BRCC3,951.0
ELF1,1860.0
NDUFC2,360.0
COL11A1,5457.0
CXORF58,999.0
LRIG3,3360.0
TRIM59,1212.0
ATRNL1,4140.0
SRSF1,747.0
GCC2,5055.0
FBXL17,912.0
PAFAH1B2,690.0
MKI67,9771.0
PKD2,2907.0
MLH1,2271.0
SNAPC1,1107.0
LARP7,1749.0
TSPYL2,2082.0
ZNF608,4539.0
ADAM33,2442.0
RSRC1,1005.0
MEDAG,912.0
PSCA,345.0
CDKN2C,507.0
CFHR4,996.0
OCIAD2,465.0
FEZ2,1062.0
FAM175A,1230.0
CEP128,3285.0
OBSL1,5415.0
AAMP,1305.0
SPAG11A,327.0
MCRS1,1428.0
MXRA8,1329.0
ETV3,432.0
WNT16,1098.0
ASUN,2121.0
ST8SIA6,1197.0
SENP3,1725.0
NRXN2,5139.0
ARID4B,3939.0
LUC7L2,1179.0
ARHGEF25,1743.0
COPG2,468.0
KRT222,888.0
RBM46,1602.0
MPZ,777.0
CLCN5,2241.0
ZNF768,1623.0
PAN3,2064.0
ACIN1,4026.0
HERC4,3174.0
CR1,6127.5
TEX26,870.0
PRDM5,1893.0
TNRC18,1275.0
SMAD7,1281.0
GNB4,1023.0
NIT1,984.0
PRKAR1A,1146.0
EML5,5934.0
MFRP,1740.0
NFE2L3,2085.0
KMT2E,5577.0
MYBL1,2259.0
CCDC18,4254.0
CYBRD1,861.0
KIRREL,1782.0
PRPF38B,1641.0
YTHDC1,2184.0
HEPACAM2,1353.0
SMURF2,2247.0
PLCL1,2994.0
EIF3J,777.0
C11ORF94,297.0
TNPO1,2673.0
ADNP,3309.0
DNAJC11,1680.0
ZMAT1,1404.0
CCBE1,1221.0
TBC1D19,1581.0
PRB3,930.0
LAMA2,9369.0
GNA13,1134.0
MCM7,1632.0
INPP4A,2934.0
ERO1LB,1404.0
TAF3,2790.0
PXK,1548.0
LETM2,1191.0
RNF103,2058.0
SUFU,1455.0
GRPEL2,678.0
MIB1,3021.0
NCAPH2,1821.0
ASH1L,8895.0
PIGB,1665.0
IGSF1,4011.0
AKIP1,633.0
ANKRD12,6189.0
SLC35F1,1227.0
SCAF11,4392.0
MALT1,2442.0
SMARCD2,1428.0
SAMD4A,2154.0
RABL6,2424.0
CEL,2271.0
FAM222B,1689.0
C1ORF53,438.0
ATP11C,3399.0
MED1,4746.0
EOMES,2061.0
IAH1,747.0
MEF2B,1107.0
DOCK6,6150.0
DENND4A,5592.0
AMY2A,1536.0
MSX1,912.0
RIC3,1107.0
ZNF492,1416.0
GPRASP1,4188.0
C8ORF34,1284.0
INTS4,2892.0
ADAM23,2499.0
ARFGAP3,1551.0
ANAPC4,2427.0
CHDC2,1509.0
RFX7,4092.0
PRKCD,2031.0
BMF,555.0
RTF1,1758.0
CUL1,2331.0
POGLUT1,1179.0
TM9SF3,1770.0
GPATCH8,4509.0
ATG14,1479.0
MCPH1,2508.0
C7ORF50,585.0
FGFBP1,705.0
TSC2,5424.0
NUCKS1,732.0
C8ORF37,624.0
AMOTL1,2871.0
SGMS2,1098.0
ZSWIM8,3669.0
PRDX3,771.0
NKAIN4,627.0
ZFYVE9,4278.0
LRPPRC,4185.0
ZNF395,1542.0
MANEA,1389.0
IK,1674.0
COPS4,1221.0
PPP1R3D,900.0
CERS3,1152.0
MSL3,1566.0
R3HCC1L,2337.0
HOXD9,1029.0
MTO1,2154.0
AADACL3,843.0
PLK2,2058.0
TCERG1,3297.0
DALRD3,1131.0
KHSRP,2136.0
MAST2,5205.0
COL9A2,2070.0
CNOT1,7131.0
C6ORF203,723.0
NELL2,2451.0
ZNF12,2094.0
SP3,2346.0
AQP2,816.0
YWHAE,768.0
LIN28B,753.0
PKN2,2955.0
GRXCR1,873.0
CASC3,2112.0
ZNF717,2745.0
TIGD7,1650.0
KRTAP4-6,618.0
SLC25A51,894.0
ABCB6,2529.0
DMXL2,9111.0
SEL1L,2385.0
ZNF654,897.0
MTL5,1527.0
ARHGAP27,792.0
PYGO2,1221.0
CHRDL1,1371.0
PSTPIP1,1251.0
MED6,741.0
FAM53C,1179.0
MAP7D2,2199.0
CBLN3,618.0
YPEL2,360.0
OR7C1,963.0
TOP1,2298.0
MLLT10,3084.0
MARCH8,876.0
RGPD4,5277.0
CACNA1H,7044.0
RPTN,2355.0
DNAJC1,1665.0
ENO2,1305.0
LRBA,8592.0
C16ORF70,1269.0
RXRG,1392.0
GLT8D1,1116.0
PIK3R3,1386.0
SCAF1,3939.0
RHOXF2,867.0
KANSL1L,2964.0
ARHGAP33,3381.0
PRIM1,1263.0
IRF2BP1,1755.0
TMEM165,975.0
SLC4A7,3645.0
BTAF1,5550.0
FAM153A,933.0
SDC4,597.0
HNRPDL,1263.0
RALGAPA1,6111.0
PEX1,3852.0
CDH7,2358.0
UHRF1BP1L,1569.0
NCOA2,4395.0
LRFN4,1908.0
SLC6A14,1929.0
KLRC2,696.0
TRIM72,1434.0
PPP1R21,2310.0
ODF1,753.0
MAP3K13,2901.0
ZDHHC13,1479.0
HPSE2,1779.0
CTSK,990.0
TKTL1,1791.0
TTYH1,1353.0
RASSF7,1122.0
MYCN,1395.0
BAG6,3381.0
E2F5,1041.0
ALDOB,1095.0
TGIF1,1206.0
SLK,3459.0
ZBTB20,2007.0
KAT6B,6222.0
ALB,1830.0
CD1D,1008.0
SPATA17,1086.0
ZFX,2418.0
RECK,2916.0
GSK3B,1302.0
NEXN,2028.0
PDS5B,4344.0
OR4F5,918.0
SUCNR1,1005.0
TNFRSF18,768.0
TMEM55A,774.0
CTCFL,1992.0
RTN4IP1,1191.0
JUN,996.0
NR3C1,2337.0
FN3KRP,930.0
MICU3,1593.0
SCAF4,3444.0
HECA,1632.0
SLC26A7,1971.0
CCDC171,3981.0
NDUFA8,519.0
CASZ1,5280.0
USP29,2769.0
SPTY2D1,2058.0
RMDN3,1413.0
TBKBP1,1920.0
FBXL19,1575.0
ABL2,3441.0
ZNF658,3180.0
EBF2,1728.0
CASK,2766.0
AKR1C2,972.0
PHF14,2847.0
ISY1,858.0
TFG,1203.0
FUT11,1479.0
GPM6A,837.0
NRK,4749.0
GPR137B,1200.0
PRKCE,2214.0
DDX4,2175.0
INTS8,2988.0
PAX2,1191.0
DYNC1LI2,1479.0
GPR88,1155.0
MICAL1,3204.0
EIF4ENIF1,2958.0
SUPT6H,5181.0
STIL,3864.0
MRPS31,1188.0
GOLIM4,2091.0
TRDN,2190.0
PPP4R1,2802.0
SCHIP1,1464.0
ACY1,1227.0
FIBP,1095.0
DMWD,2025.0
MDFIC,1068.0
NR6A1,1443.0
EPG5,7740.0
FOXQ1,1212.0
EPHA5,3114.0
ABCA5,4929.0
PAPD4,1455.0
CLASP2,4521.0
RBM47,1575.0
FGB,1476.0
SLC30A1,1524.0
KDM3A,3966.0
CACNB4,1563.0
KLHDC8B,1065.0
SLTM,3105.0
GJB1,852.0
RNASEH2B,939.0
SRPX2,1398.0
FAM57B,825.0
DDO,1110.0
USP15,2859.0
CPEB4,2190.0
MGAT4C,1437.0
CMAS,1305.0
NLRC5,5601.0
ADAMTS20,5733.0
FBXL3,1287.0
TINAG,1431.0
FN1,7068.0
CDC25A,1575.0
NKX6-1,1104.0
LPAR3,1062.0
ADPGK,1491.0
DEFB113,249.0
DCHS1,9897.0
TOB1,1038.0
GDPD3,957.0
DOCK11,6222.0
RBM5,2448.0
STK38,1398.0
PPP1R1B,615.0
ACADVL,1968.0
RTN3,3042.0
ARL6IP4,1083.0
LAMTOR4,300.0
TTPAL,1029.0
CABYR,1482.0
ITFG1,1839.0
CRISPLD1,1503.0
ZNF763,1194.0
RUNDC1,1842.0
LNX2,2073.0
MYEF2,1803.0
TMEM70,783.0
POGZ,4233.0
MAP7D1,2526.0
CECR6,1737.0
MYB,1923.0
PLCB3,3705.0
CTNNA1,2721.0
PSKH1,1275.0
ACSM3,1761.0
HIGD2A,321.0
HEPACAM,1251.0
STEAP1B,1029.0
BRWD1,6810.0
RASA2,2550.0
NFKB2,2700.0
ATP8B4,3579.0
TAF1B,1767.0
EEF1A1,1389.0
TRAPPC8,4308.0
TSG101,1173.0
EML4,2946.0
CTSF,1455.0
NEUROD2,1149.0
NME5,639.0
PXMP2,588.0
QSER1,5208.0
PCBP2,1101.0
RHBDL3,1215.0
ABHD16A,1677.0
DEFB115,267.0
MFAP1,1320.0
ITPR2,8106.0
CDC73,1596.0
PHC3,2895.0
HPS1,2103.0
RGS22,3795.0
ING5,723.0
NTRK2,2517.0
DST,7950.0
TREH,1749.0
LCE5A,357.0
PRDX1,600.0
INO80E,735.0
KIAA1967,2772.0
SLC16A10,1548.0
ARHGAP12,2541.0
POLA2,1797.0
ZMYM6,3978.0
WNT1,1113.0
ZNF142,4575.0
DLG1,2781.0
KLHL8,1863.0
PHEX,2250.0
CCDC15,2397.0
PDE6A,2583.0
ARAF,1821.0
TAB3,2139.0
RBM15B,2673.0
NELL1,2433.0
NUP205,6039.0
PYCARD,588.0
RTFDC1,921.0
EME1,1713.0
ZBTB11,3162.0
C15ORF52,1605.0
RPS6KB1,1578.0
SNAP29,777.0
NUDT19,1128.0
ARRDC3,1245.0
IFNGR1,1470.0
CCDC30,2352.0
ARAP3,4635.0
SMG1,10974.0
HNRNPUL2,2244.0
STX5,1068.0
ANKRD44,2760.0
ZNF451,3042.0
CNIH,435.0
C10ORF25,369.0
CNOT6,1674.0
AP4E1,3414.0
DEFB123,204.0
DCT,1560.0
ACSS3,2061.0
RBM27,3183.0
C1ORF68,753.0
FUNDC1,468.0
UNCX,1596.0
SAMHD1,1881.0
SAV1,1152.0
GNG2,216.0
PLA2G15,1239.0
SPAG4,1314.0
YEATS4,684.0
KAT6A,6015.0
APEX1,957.0
ARHGEF6,2331.0
TEAD1,1236.0
DDX5,1845.0
CDK17,1572.0
SWAP70,1758.0
MARK2,2238.0
ACBD4,918.0
GPSM2,2055.0
BLMH,1368.0
METTL1,831.0
KCNJ9,1182.0
TIGD4,1539.0
DAZAP1,1224.0
CMPK1,687.0
ARAP2,5115.0
CFI,1752.0
ALPL,1575.0
SLC7A13,1413.0
ARHGAP26,2445.0
USP6,2361.0
STK4,1464.0
UBN2,3795.0
RCOR1,1449.0
ADNP2,3396.0
LANCL3,1167.0
E2F8,2604.0
MTX1,1401.0
SYCP2,4593.0
HAS2,1659.0
STK19,1107.0
PTPN12,2343.0
KCNIP4,690.0
PPP1R13B,3273.0
SELP,2493.0
NIPA2,1026.0
KDELR3,645.0
ANKIB1,3270.0
ZNF568,1935.0
RIC8B,1563.0
IGFN1,2607.0
PPP1R3C,954.0
CCL8,300.0
SLC9A1,2448.0
PAQR3,936.0
POLD3,1401.0
CPB1,1254.0
MRTFA,2796.0
SLC9A9,1938.0
AP4M1,1362.0
CHPF2,2319.0
PTN,507.0
PIGH,567.0
NOTCH2NL,711.0
LONRF2,2265.0
GBE1,2109.0
PARP2,1605.0
RNMT,1431.0
FAM160A2,2961.0
TLR9,3099.0
EIF5A2,462.0
CAMTA2,3609.0
ZNF687,3714.0
CCDC39,2268.0
SH3PXD2A,3318.0
DNAJB13,951.0
SETDB2,2160.0
JOSD1,609.0
FOXE3,960.0
CCRL1,1053.0
TMTC3,2745.0
GTF3C6,642.0
UBXN2B,996.0
TOR1AIP1,1752.0
RANBP3L,1398.0
FAM135A,3909.0
VEGFB,624.0
WWC1,3342.0
STAU2,1440.0
NRBP2,1524.0
C16ORF86,954.0
SULT1C3,915.0
BCL7C,654.0
PHGDH,1602.0
HSP90AB1,2175.0
MRPL24,651.0
NRIP1,3477.0
TRIP13,1299.0
LDOC1L,720.0
C14ORF93,1617.0
CD300A,900.0
TMED10,660.0
PKP4,3579.0
PARD3B,3432.0
HPR,1047.0
KIAA1009,4212.0
RPS6KA3,2223.0
PLK1,1812.0
CDH24,2346.0
NRP2,2796.0
GPR141,918.0
MKL2,3150.0
TBR1,2049.0
SENP7,2955.0
ESRP1,2034.0
CUL2,2238.0
ZBTB44,1425.0
SPTAN1,7419.0
RAD9B,780.0
RAVER1,2220.0
ERBB2IP,4116.0
TPX2,2244.0
CYP8B1,1506.0
PPP6R1,2643.0
MAGEE2,1572.0
FAM19A1,402.0
MFSD8,1557.0
ANXA7,1467.0
KCNIP2,858.0
BMP5,1365.0
CNGA2,1995.0
SLC10A3,1434.0
FBXO34,2136.0
RNF219,2181.0
C1QA,738.0
TSGA10,2097.0
C12ORF10,1131.0
EGFL6,1662.0
RBFOX2,1104.0
NAMPT,1476.0
GALR3,1107.0
NECAB1,1056.0
VSTM2A,711.0
PTPN3,2742.0
STXBP2,1782.0
PIM2,1005.0
POLDIP3,1266.0
IRS2,4017.0
FAM214B,1617.0
GABRG2,1428.0
BAZ2A,5826.0
TMEM132C,2175.0
SUN1,2109.0
SMARCC2,3645.0
MVB12B,960.0
MBD2,1236.0
PCTP,645.0
SERPINI1,1233.0
PGR,2802.0
NEURL,1725.0
TRIP6,1431.0
HIPK1,3228.0
AVPR1B,1275.0
DPPA4,915.0
DYNC1I1,1938.0
SMPD1,1764.0
MXI1,888.0
MSX2,804.0
IL6ST,2757.0
CASKIN1,4296.0
ECD,1935.0
COL18A1,4560.0
ADAMTSL3,5076.0
ZNF800,1995.0
FAM111B,2205.0
CFP,1410.0
RCC2,1569.0
SPTSSB,231.0
CR2,3279.0
APIP,729.0
CAPN7,2442.0
KIAA1429,5439.0
MSH3,3387.0
RAB40C,846.0
NQO1,825.0
KCTD8,1422.0
MIOX,858.0
IGFBP7,849.0
HAPLN4,1209.0
SFMBT1,2601.0
LGALS2,399.0
EPN2,1926.0
TRAF4,1413.0
CD2,1056.0
ATG4A,1197.0
PPP2R2A,1344.0
DNAJC6,2742.0
TRIM27,1542.0
ABTB1,1437.0
SDAD1,2064.0
LPHN1,4425.0
QKI,1026.0
VARS,3795.0
F8,7056.0
CLSTN2,2868.0
PCSK6,2925.0
POLR1C,1041.0
ZNF528,1887.0
LY75,5169.0
SLC44A3,1818.0
KRTAP21-2,252.0
C16ORF90,576.0
XBP1,872.25
TRIM23,1725.0
PROSER1,2835.0
DEGS1,972.0
MFSD12,1422.0
ZNF827,3234.0
SAC3D1,1077.0
ELL3,1194.0
FAM126B,1593.0
DBP,978.0
GOLGA2,3009.0
IGDCC4,3753.0
ZDHHC14,1467.0
TRIM13,1224.0
CUL4B,2742.0
CSNK1G3,1344.0
ZNF571,1830.0
GAREM,2631.0
LPCAT3,1464.0
FAT2,13050.0
PRCC,1476.0
NTN5,1470.0
DHX57,4161.0
HSDL1,993.0
FNBP4,3054.0
CASP5,1257.0
ASTE1,2040.0
ZRANB2,963.0
CCNK,1743.0
HOMEZ,1581.0
SLC22A9,1662.0
TNFSF13,753.0
UBXN11,1563.0
LRRC58,1116.0
TECPR1,3501.0
MYO1A,3132.0
SPOCK3,1302.0
NDUFA5,351.0
SLC25A53,924.0
SCIN,2148.0
DSEL,3669.0
YIF1A,882.0
CRIPT,306.0
FLNA,7944.0
CHIT1,1401.0
KRT16,1422.0
TREX1,1110.0
ZCCHC14,2850.0
MED17,1956.0
HNRNPH2,1350.0
SLC39A7,1410.0
ARHGAP11A,3072.0
FER,2469.0
GPR75,1623.0
FBXL5,2076.0
C10ORF129,561.0
TM7SF3,1713.0
TWIST1,609.0
DNAJC16,2349.0
BARHL2,1164.0
CSNK1G1,1182.0
KIF1C,3312.0
FAHD2B,945.0
PSORS1C1,459.0
PNPLA7,3954.0
CAMSAP2,4437.0
NBEA,8841.0
KLC1,1683.0
HNRNPA3,1137.0
NAA30,1089.0
SLC16A4,1464.0
SIGLEC15,987.0
MIS18BP1,3399.0
ERP44,1221.0
CELF6,1446.0
WBP4,1131.0
RALGAPB,4485.0
FADD,627.0
BROX,1236.0
KRTAP10-9,879.0
ZNF160,2457.0
C11ORF70,690.0
ESRRG,1377.0
MAPK15,1692.0
LRRC28,1104.0
SERPINA1,1257.0
SLC48A1,720.0
LCOR,1302.0
MMAA,1257.0
RNF214,2112.0
ZMYM5,1149.0
OTX2,894.0
ACSL3,2163.0
DDX46,3096.0
CDKL3,1368.0
OGDH,3072.0
MAGED2,1821.0
TEAD2,1344.0
UPB1,1155.0
SLC25A52,894.0
ARHGAP21,5874.0
TMCC1,1962.0
RBM11,846.0
FBXO3,1416.0
NPS,270.0
EFCAB7,1890.0
ZRANB1,2127.0
RNPEP,1953.0
PIGK,1188.0
RBL2,3420.0
CHST7,1461.0
KIAA1522,3285.0
PTMA,333.0
GLG1,3612.0
C1ORF172,1197.0
PHTF1,2289.0
ZCCHC11,4938.0
ICAM4,819.0
TLE1,2313.0
CD164,594.0
LIFR,3294.0
DYNAP,633.0
LIMD2,384.0
ZDHHC4,1035.0
IGHMBP2,2982.0
SLC16A1,1503.0
RAI14,2943.0
ELMSAN1,3138.0
DDX10,2628.0
PTH2R,1653.0
POLR2D,429.0
SYNGAP1,4032.0
DNAJA3,1443.0
LYRM5,273.0
ZNF155,1617.0
CLEC4C,642.0
PCDH10,3123.0
MTHFD1L,2937.0
CCL2,300.0
METTL24,1101.0
ATP1B3,840.0
FAM173B,702.0
TBRG4,1896.0
CHRM3,1773.0
TBC1D15,2076.0
ITGAV,3147.0
RBMXL1,1170.0
FAM105A,1071.0
DDX60L,5121.0
C17ORF82,756.0
CELA1,777.0
NDUFS7,642.0
ZPBP2,1017.0
NEURL2,858.0
DNAJC10,2382.0
HNRNPAB,999.0
ATAD5,5535.0
VPS51,2349.0
PROM1,2598.0
FAM71F1,1035.0
SHB,1530.0
ALG12,1467.0
SPEF2,1545.0
ZNF696,1125.0
PCGF5,771.0
UGP2,1527.0
MUT,2253.0
ANXA10,975.0
SEC13,969.0
EIF1,342.0
SYTL2,3819.0
FAM19A2,396.0
ENTPD2,1488.0
TTC14,2313.0
ASPHD1,1173.0
A1BG,1488.0
POTED,1755.0
TMEM243,357.0
CENPC1,2832.0
PARD3,4071.0
SHFM1,213.0
FAM73B,1782.0
FAF1,1953.0
FOXD2,1488.0
IRX3,1506.0
SLITRK4,2514.0
WRNIP1,1998.0
ADC,1383.0
SERPINB11,573.0
SUGP1,1938.0
HDLBP,3807.0
ARHGAP20,3576.0
BCL6,2121.0
PTK2,3225.0
NOXA1,1452.0
CREB1,1026.0
TTC3,6078.0
CCDC36,1785.0
FTCD,1626.0
SAAL1,1425.0
MAP3K6,3447.0
GTF2IRD2B,2850.0
CLOCK,2541.0
TDRD3,1956.0
NADSYN1,2121.0
SRCAP,9693.0
IGSF9,3492.0
CD99L2,789.0
KLHL31,1905.0
RMDN1,945.0
CCDC73,3240.0
ZMYM1,3429.0
SPAG9,3924.0
PRDX6,675.0
C9ORF24,789.0
SMAP2,1290.0
TJP1,5247.0
PRSS23,1152.0
EPS8,2469.0
KPNA3,1566.0
ADAMTSL4,3225.0
LTBP3,3771.0
USP9Y,7668.0
FAM98A,1557.0
C11ORF52,372.0
TIMM17B,519.0
RPP40,1092.0
TET3,4983.0
C7ORF63,2688.0
MAP3K12,2580.0
LGR4,2856.0
TMCO6,1482.0
ABCF2,1872.0
CC2D2B,969.0
RABEP2,1710.0
