#Gene          	Label     	Location                      	Source    	Strand    
A1CF           	CD        	chr10:50799421-50885675       	CGC_v.96  	neg       
CANT1          	CD        	chr17:78991717-79009817       	CGC_v.96  	neg       
CARD11         	CD        	chr7:2906141-3043945          	CGC_v.96  	neg       
CARS           	CD        	chr11:3000922-3057437         	CGC_v.96  	neg       
CASP3          	CD        	chr4:184627696-184649475      	CGC_v.96  	neg       
CASP8          	CD        	chr2:201258036-201287711      	CGC_v.96  	pos       
CASP9          	CD        	chr1:15492270-15524295        	CGC_v.96  	neg       
CBFA2T3        	CD        	chr16:88874858-88977204       	CGC_v.96  	neg       
CBFB           	CD        	chr16:67029245-67101022       	CGC_v.96  	pos       
CBL            	CD        	chr11:119206276-119308149     	CGC_v.96  	pos       
CBLB           	CD        	chr3:105655461-105869043      	CGC_v.96  	neg       
CBLC           	CD        	chr19:44777869-44800634       	CGC_v.96  	pos       
CCDC6          	CD        	chr10:59788763-59906656       	CGC_v.96  	neg       
CCNB1IP1       	CD        	chr14:20311368-20333312       	CGC_v.96  	neg       
CCNC           	CD        	chr6:99542380-99568973        	CGC_v.96  	neg       
CCND1          	CD        	chr11:69641087-69654474       	CGC_v.96  	pos       
CCND2          	CD        	chr12:4273772-4305350         	CGC_v.96  	pos       
CCND3          	CD        	chr6:41934933-41941848        	CGC_v.96  	neg       
CCNE1          	CD        	chr19:29811898-29824308       	CGC_v.96  	pos       
CCR4           	CD        	chr3:32951574-32956349        	CGC_v.96  	pos       
CCR7           	CD        	chr17:40553769-40565472       	CGC_v.96  	neg       
CD209          	CD        	chr19:7739994-7747534         	CGC_v.96  	neg       
CD274          	CD        	chr9:5450525-5470547          	CGC_v.96  	pos       
CD28           	CD        	chr2:203706548-203738912      	CGC_v.96  	pos       
CD74           	CD        	chr5:150402152-150412751      	CGC_v.96  	neg       
CD79A          	CD        	chr19:41877120-41881372       	CGC_v.96  	pos       
CD79B          	CD        	chr17:63928740-63932336       	CGC_v.96  	neg       
CDC73          	CD        	chr1:193122017-193253901      	CGC_v.96  	pos       
CDH1           	CD        	chr16:68737225-68835548       	CGC_v.96  	pos       
CDH10          	CD        	chr5:24487100-24644978        	CGC_v.96  	neg       
CDH11          	CD        	chr16:64943753-65122198       	CGC_v.96  	neg       
CDH17          	CD        	chr8:94127171-94208587        	CGC_v.96  	neg       
CDK12          	CD        	chr17:39462039-39535146       	CGC_v.96  	pos       
CDK4           	CD        	chr12:57747727-57752521       	CGC_v.96  	neg       
CDK6           	CD        	chr7:92604921-92833917        	CGC_v.96  	neg       
CDKN1A         	CD        	chr6:36678710-36687337        	CGC_v.96  	pos       
CDKN1B         	CD        	chr12:12717124-12722371       	CGC_v.96  	pos       
CDKN2A         	CD        	chr9:21968056-21974866        	CGC_v.96  	neg       
CDKN2C         	CD        	chr1:50960745-50974633        	CGC_v.96  	pos       
CDX2           	CD        	chr13:27962137-27971139       	CGC_v.96  	neg       
CEBPA          	CD        	chr19:33299934-33302564       	CGC_v.96  	neg       
CEP89          	CD        	chr19:32875925-32971963       	CGC_v.96  	neg       
CHCHD7         	CD        	chr8:56211756-56218615        	CGC_v.96  	pos       
CHD2           	CD        	chr15:92900320-93028005       	CGC_v.96  	pos       
CHD4           	CD        	chr12:6570088-6607476         	CGC_v.96  	neg       
CHEK2          	CD        	chr22:28687763-28741838       	CGC_v.96  	neg       
CHIC2          	CD        	chr4:54009789-54064690        	CGC_v.96  	neg       
CHST11         	CD        	chr12:104456973-104762014     	CGC_v.96  	pos       
CIC            	CD        	chr19:42284665-42295797       	CGC_v.96  	pos       
CIITA          	CD        	chr16:10877198-10924983       	CGC_v.96  	pos       
CLIP1          	CD        	chr12:122271434-122422569     	CGC_v.96  	neg       
CLP1           	CD        	chr11:57657158-57661868       	CGC_v.96  	pos       
CLTC           	CD        	chr17:59619689-59696956       	CGC_v.96  	pos       
CLTCL1         	CD        	chr22:19179473-19291714       	CGC_v.96  	neg       
CNBD1          	CD        	chr8:86866445-87382859        	CGC_v.96  	pos       
CNBP           	CD        	chr3:129170102-129183910      	CGC_v.96  	neg       
CNOT3          	CD        	chr19:54141396-54155680       	CGC_v.96  	pos       
CNTNAP2        	CD        	chr7:146116359-148420998      	CGC_v.96  	pos       
CNTRL          	CD        	chr9:121075012-121177608      	CGC_v.96  	pos       
COL1A1         	CD        	chr17:50183289-50201632       	CGC_v.96  	neg       
COL2A1         	CD        	chr12:47972965-48004486       	CGC_v.96  	neg       
COL3A1         	CD        	chr2:188974320-189012746      	CGC_v.96  	pos       
COX6C          	CD        	chr8:99877866-99894062        	CGC_v.96  	neg       
CPEB3          	CD        	chr10:92048642-92243279       	CGC_v.96  	neg       
CREB1          	CD        	chr2:207529892-207603431      	CGC_v.96  	pos       
CREB3L1        	CD        	chr11:46277661-46321422       	CGC_v.96  	pos       
CREB3L2        	CD        	chr7:137874979-138002057      	CGC_v.96  	neg       
CREBBP         	CD        	chr16:3725054-3880726         	CGC_v.96  	neg       
CRLF2          	CD        	chrX:1190490-1212750          	CGC_v.96  	neg       
CRNKL1         	CD        	chr20:20034368-20056046       	CGC_v.96  	neg       
CRTC1          	CD        	chr19:18683678-18782333       	CGC_v.96  	pos       
CRTC3          	CD        	chr15:90530068-90642813       	CGC_v.96  	pos       
CSF1R          	CD        	chr5:150053291-150113372      	CGC_v.96  	neg       
CSF3R          	CD        	chr1:36466043-36483278        	CGC_v.96  	neg       
CSMD3          	CD        	chr8:112222928-113437099      	CGC_v.96  	neg       
CTCF           	CD        	chr16:67562467-67639176       	CGC_v.96  	pos       
CTNNA1         	CD        	chr5:138753423-138935034      	CGC_v.96  	pos       
CTNNA2         	CD        	chr2:79651552-80648689        	CGC_v.96  	pos       
CTNNB1         	CD        	chr3:41220551-41239888        	CGC_v.96  	pos       
CTNND1         	CD        	chr11:57761797-57819178       	CGC_v.96  	pos       
CTNND2         	CD        	chr5:10971840-11904043        	CGC_v.96  	neg       
CUL3           	CD        	chr2:224470150-224585348      	CGC_v.96  	neg       
CUX1           	CD        	chr7:101816011-102258233      	CGC_v.96  	pos       
CXCR4          	CD        	chr2:136114349-136116243      	CGC_v.96  	neg       
CYLD           	CD        	chr16:50742760-50801935       	CGC_v.96  	pos       
CYP2C8         	CD        	chr10:95036773-95069497       	CGC_v.96  	neg       
CYSLTR2        	CD        	chr13:48706555-48711226       	CGC_v.96  	pos       
DAXX           	CD        	chr6:33318558-33323014        	CGC_v.96  	neg       
DCAF12L2       	CD        	chrX:126163499-126166097      	CGC_v.96  	neg       
DCC            	CD        	chr18:52340172-53535899       	CGC_v.96  	pos       
DCTN1          	CD        	chr2:74361154-74380355        	CGC_v.96  	neg       
DDB2           	CD        	chr11:47214942-47239240       	CGC_v.96  	pos       
DDIT3          	CD        	chr12:57516589-57520517       	CGC_v.96  	neg       
DDR2           	CD        	chr1:162632465-162787400      	CGC_v.96  	pos       
DDX10          	CD        	chr11:108665025-108940930     	CGC_v.96  	pos       
DDX3X          	CD        	chrX:41333284-41351668        	CGC_v.96  	pos       
DDX5           	CD        	chr17:64499616-64506521       	CGC_v.96  	neg       
DDX6           	CD        	chr11:118747766-118790948     	CGC_v.96  	neg       
DEK            	CD        	chr6:18223868-18264823        	CGC_v.96  	neg       
DGCR8          	CD        	chr22:20080232-20111871       	CGC_v.96  	pos       
DICER1         	CD        	chr14:95086228-95158010       	CGC_v.96  	neg       
DNAJB1         	CD        	chr19:14514770-14518420       	CGC_v.96  	neg       
DNM2           	CD        	chr19:10718131-10831903       	CGC_v.96  	pos       
DNMT3A         	CD        	chr2:25227855-25342590        	CGC_v.96  	neg       
DROSHA         	CD        	chr5:31400497-31532061        	CGC_v.96  	neg       
DUX4L1         	CD        	chr4:190084412-190085686      	CGC_v.96  	pos       
EBF1           	CD        	chr5:158695920-159099761      	CGC_v.96  	neg       
ECT2L          	CD        	chr6:138796111-138904070      	CGC_v.96  	pos       
EED            	CD        	chr11:86245223-86278813       	CGC_v.96  	pos       
EGFR           	CD        	chr7:55019101-55211628        	CGC_v.96  	pos       
EIF1AX         	CD        	chrX:20124518-20141844        	CGC_v.96  	neg       
EIF3E          	CD        	chr8:108201743-108248765      	CGC_v.96  	neg       
EIF4A2         	CD        	chr3:186783547-186789900      	CGC_v.96  	pos       
ELF3           	CD        	chr1:202007945-202016009      	CGC_v.96  	pos       
ELF4           	CD        	chrX:130064928-130110495      	CGC_v.96  	neg       
ELK4           	CD        	chr1:205607943-205631962      	CGC_v.96  	neg       
ELL            	CD        	chr19:18442663-18522127       	CGC_v.96  	neg       
ELN            	CD        	chr7:74027789-74069907        	CGC_v.96  	pos       
EML4           	CD        	chr2:42169350-42332548        	CGC_v.96  	pos       
EP300          	CD        	chr22:41091786-41180079       	CGC_v.96  	pos       
EPAS1          	CD        	chr2:46297402-46386703        	CGC_v.96  	pos       
EPHA3          	CD        	chr3:89107524-89482134        	CGC_v.96  	pos       
EPHA7          	CD        	chr6:93240020-93419526        	CGC_v.96  	neg       
EPS15          	CD        	chr1:51354263-51519328        	CGC_v.96  	neg       
ERBB2          	CD        	chr17:39700080-39728662       	CGC_v.96  	pos       
ERBB3          	CD        	chr12:56079861-56103505       	CGC_v.96  	pos       
ERBB4          	CD        	chr2:211375717-212538841      	CGC_v.96  	neg       
ERC1           	CD        	chr12:1027747-1495924         	CGC_v.96  	pos       
ERCC2          	CD        	chr19:45349837-45370587       	CGC_v.96  	neg       
ERCC3          	CD        	chr2:127257290-127294176      	CGC_v.96  	neg       
ERCC4          	CD        	chr16:13920157-13952345       	CGC_v.96  	pos       
ERCC5          	CD        	chr13:102844844-102876001     	CGC_v.96  	pos       
ERG            	CD        	chr21:38380027-38661694       	CGC_v.96  	neg       
ESR1           	CD        	chr6:151690496-152103274      	CGC_v.96  	pos       
ETNK1          	CD        	chr12:22625075-22690665       	CGC_v.96  	pos       
ETV1           	CD        	chr7:13891228-13989946        	CGC_v.96  	neg       
ETV4           	CD        	chr17:43527844-43546432       	CGC_v.96  	neg       
ETV5           	CD        	chr3:186046308-186109112      	CGC_v.96  	neg       
ETV6           	CD        	chr12:11649854-11895402       	CGC_v.96  	pos       
EWSR1          	CD        	chr22:29268316-29300343       	CGC_v.96  	pos       
EXT1           	CD        	chr8:117794490-118111853      	CGC_v.96  	neg       
EXT2           	CD        	chr11:44096197-44245429       	CGC_v.96  	pos       
EZH2           	CD        	chr7:148807385-148884278      	CGC_v.96  	neg       
EZR            	CD        	chr6:158765748-158819412      	CGC_v.96  	neg       
FAM131B        	CD        	chr7:143353400-143362752      	CGC_v.96  	neg       
FAM135B        	CD        	chr8:138130023-138496822      	CGC_v.96  	neg       
FAM47C         	CD        	chrX:37008397-37011666        	CGC_v.96  	pos       
FANCA          	CD        	chr16:89737549-89816646       	CGC_v.96  	neg       
FANCC          	CD        	chr9:95099054-95317702        	CGC_v.96  	neg       
FANCD2         	CD        	chr3:10026414-10099660        	CGC_v.96  	pos       
FANCE          	CD        	chr6:35452361-35467103        	CGC_v.96  	pos       
FANCF          	CD        	chr11:22622519-22626787       	CGC_v.96  	neg       
FANCG          	CD        	chr9:35073838-35080016        	CGC_v.96  	neg       
FAS            	CD        	chr10:88990657-89015785       	CGC_v.96  	pos       
FAT1           	CD        	chr4:186587783-186723855      	CGC_v.96  	neg       
FAT3           	CD        	chr11:92352541-92896470       	CGC_v.96  	pos       
FAT4           	CD        	chr4:125316399-125492932      	CGC_v.96  	pos       
FBLN2          	CD        	chr3:13549131-13638422        	CGC_v.96  	pos       
FBXO11         	CD        	chr2:47806920-47905793        	CGC_v.96  	neg       
FBXW7          	CD        	chr4:152320544-152536063      	CGC_v.96  	neg       
FCGR2B         	CD        	chr1:161663161-161678654      	CGC_v.96  	pos       
FCRL4          	CD        	chr1:157573749-157598080      	CGC_v.96  	neg       
FEN1           	CD        	chr11:61792637-61797244       	CGC_v.96  	pos       
FES            	CD        	chr15:90884412-90895776       	CGC_v.96  	pos       
FEV            	CD        	chr2:218981087-218985657      	CGC_v.96  	neg       
FGFR1          	CD        	chr8:38411138-38467845        	CGC_v.96  	neg       
FGFR1OP        	CD        	chr6:166999182-167052713      	CGC_v.96  	pos       
FGFR2          	CD        	chr10:121479857-121598403     	CGC_v.96  	neg       
FGFR3          	CD        	chr4:1793312-1808872          	CGC_v.96  	pos       
FGFR4          	CD        	chr5:177086886-177098144      	CGC_v.96  	pos       
FH             	CD        	chr1:241497603-241519761      	CGC_v.96  	neg       
FHIT           	CD        	chr3:59751407-61251459        	CGC_v.96  	neg       
FIP1L1         	CD        	chr4:53377645-53459668        	CGC_v.96  	pos       
FKBP9          	CD        	chr7:32957404-33006930        	CGC_v.96  	pos       
FLCN           	CD        	chr17:17212212-17237139       	CGC_v.96  	neg       
FLI1           	CD        	chr11:128693770-128813267     	CGC_v.96  	pos       
FLNA           	CD        	chrX:154348526-154374638      	CGC_v.96  	neg       
FLT3           	CD        	chr13:28003274-28100592       	CGC_v.96  	neg       
FLT4           	CD        	chr5:180601506-180649624      	CGC_v.96  	neg       
FNBP1          	CD        	chr9:129887187-130043162      	CGC_v.96  	neg       
FOXA1          	CD        	chr14:37589984-37595034       	CGC_v.96  	neg       
FOXL2          	CD        	chr3:138944224-138947140      	CGC_v.96  	neg       
FOXO1          	CD        	chr13:40555667-40666597       	CGC_v.96  	neg       
FOXO3          	CD        	chr6:108560866-108684768      	CGC_v.96  	pos       
FOXO4          	CD        	chrX:71096197-71103535        	CGC_v.96  	pos       
FOXP1          	CD        	chr3:70954715-71583989        	CGC_v.96  	neg       
FOXR1          	CD        	chr11:118971707-118981291     	CGC_v.96  	pos       
FSTL3          	CD        	chr19:676365-683399           	CGC_v.96  	pos       
FUBP1          	CD        	chr1:77948405-77979086        	CGC_v.96  	neg       
FUS            	CD        	chr16:31180110-31194871       	CGC_v.96  	pos       
GAS7           	CD        	chr17:9913850-10198551        	CGC_v.96  	neg       
GATA1          	CD        	chrX:48786554-48794308        	CGC_v.96  	pos       
GATA2          	CD        	chr3:128479427-128493185      	CGC_v.96  	neg       
GATA3          	CD        	chr10:8054653-8075203         	CGC_v.96  	pos       
GLI1           	CD        	chr12:57460138-57472262       	CGC_v.96  	pos       
GMPS           	CD        	chr3:155870536-155944026      	CGC_v.96  	pos       
GNA11          	CD        	chr19:3094410-3124004         	CGC_v.96  	pos       
GNAQ           	CD        	chr9:77716087-78031458        	CGC_v.96  	neg       
GNAS           	CD        	chr20:58852714-58911192       	CGC_v.96  	pos       
GOLGA5         	CD        	chr14:92794231-92839963       	CGC_v.96  	pos       
GOPC           	CD        	chr6:117560269-117602364      	CGC_v.96  	neg       
GPC3           	CD        	chrX:133535754-133985646      	CGC_v.96  	neg       
GPC5           	CD        	chr13:91398607-92867237       	CGC_v.96  	pos       
GPHN           	CD        	chr14:66507407-67181803       	CGC_v.96  	pos       
GRIN2A         	CD        	chr16:9753404-10182754        	CGC_v.96  	neg       
GRM3           	CD        	chr7:86643914-86864884        	CGC_v.96  	pos       
H3F3A          	CD        	chr1:226063977-226072001      	CGC_v.96  	pos       
H3F3B          	CD        	chr17:75776434-75779779       	CGC_v.96  	neg       
HERPUD1        	CD        	chr16:56932048-56944863       	CGC_v.96  	pos       
HEY1           	CD        	chr8:79764013-79767857        	CGC_v.96  	neg       
HIF1A          	CD        	chr14:61697622-61748259       	CGC_v.96  	pos       
HIP1           	CD        	chr7:75533300-75738947        	CGC_v.96  	neg       
HIST1H3B       	CD        	chr6:26031650-26032060        	CGC_v.96  	pos       
HIST1H4I       	CD        	chr6:27138588-27139881        	CGC_v.96  	pos       
HLA-A          	CD        	chr6:29941260-29945884        	CGC_v.96  	pos       
HLF            	CD        	chr17:55265012-55325065       	CGC_v.96  	pos       
HMGA1          	CD        	chr6:34236873-34246230        	CGC_v.96  	pos       
HMGA2          	CD        	chr12:65824460-65915447       	CGC_v.96  	pos       
HMGN2P46       	CD        	chr15:45511136-45556730       	CGC_v.96  	pos       
HNF1A          	CD        	chr12:120978749-121001269     	CGC_v.96  	pos       
HNRNPA2B1      	CD        	chr7:26189927-26200746        	CGC_v.96  	neg       
HOOK3          	CD        	chr8:42896932-43030539        	CGC_v.96  	pos       
HOXA11         	CD        	chr7:27181515-27185216        	CGC_v.96  	neg       
HOXA13         	CD        	chr7:27194364-27200106        	CGC_v.96  	neg       
HOXA9          	CD        	chr7:27162435-27165530        	CGC_v.96  	neg       
HOXC11         	CD        	chr12:53973126-53977643       	CGC_v.96  	pos       
HOXC13         	CD        	chr12:53938765-53946544       	CGC_v.96  	pos       
HOXD11         	CD        	chr2:176107286-176109588      	CGC_v.96  	pos       
HOXD13         	CD        	chr2:176092891-176095938      	CGC_v.96  	pos       
HRAS           	CD        	chr11:532243-535550           	CGC_v.96  	neg       
HSP90AA1       	CD        	chr14:102081049-102139686     	CGC_v.96  	neg       
HSP90AB1       	CD        	chr6:44247866-44253883        	CGC_v.96  	pos       
ID3            	CD        	chr1:23557918-23559794        	CGC_v.96  	neg       
IDH1           	CD        	chr2:208236265-208254322      	CGC_v.96  	neg       
IDH2           	CD        	chr15:90083045-90102504       	CGC_v.96  	neg       
IGF2BP2        	CD        	chr3:185643975-185825012      	CGC_v.96  	neg       
IKBKB          	CD        	chr8:42271302-42331608        	CGC_v.96  	pos       
IKZF1          	CD        	chr7:50304669-50405101        	CGC_v.96  	pos       
IKZF3          	CD        	chr17:39757715-39864188       	CGC_v.96  	neg       
IL2            	CD        	chr4:122451470-122456725      	CGC_v.96  	neg       
IL21R          	CD        	chr16:27402162-27452042       	CGC_v.96  	pos       
IL6ST          	CD        	chr5:55935095-55994993        	CGC_v.96  	neg       
IL7R           	CD        	chr5:35856849-35879603        	CGC_v.96  	pos       
IRF4           	CD        	chr6:391739-411447            	CGC_v.96  	pos       
IRS4           	CD        	chrX:108732482-108736409      	CGC_v.96  	neg       
ISX            	CD        	chr22:35066136-35087387       	CGC_v.96  	pos       
ITGAV          	CD        	chr2:186590065-186680901      	CGC_v.96  	pos       
ITK            	CD        	chr5:157180826-157255191      	CGC_v.96  	pos       
JAK1           	CD        	chr1:64833229-64966504        	CGC_v.96  	neg       
JAK2           	CD        	chr9:4985245-5128183          	CGC_v.96  	pos       
JAK3           	CD        	chr19:17824786-17848032       	CGC_v.96  	neg       
JAZF1          	CD        	chr7:27830573-28180743        	CGC_v.96  	neg       
JUN            	CD        	chr1:58780788-58784327        	CGC_v.96  	neg       
KAT6A          	CD        	chr8:41929479-42051987        	CGC_v.96  	neg       
KAT6B          	CD        	chr10:74826625-75032622       	CGC_v.96  	pos       
KAT7           	CD        	chr17:49788555-49835030       	CGC_v.96  	pos       
KCNJ5          	CD        	chr11:128891356-128921035     	CGC_v.96  	pos       
KDM5A          	CD        	chr12:280129-389454           	CGC_v.96  	neg       
KDM5C          	CD        	chrX:53192152-53225422        	CGC_v.96  	neg       
KDM6A          	CD        	chrX:44873511-45112602        	CGC_v.96  	pos       
KDR            	CD        	chr4:55078259-55125595        	CGC_v.96  	neg       
KDSR           	CD        	chr18:63327726-63367510       	CGC_v.96  	neg       
KEAP1          	CD        	chr19:10486120-10503741       	CGC_v.96  	neg       
KIAA1549       	CD        	chr7:138837525-138981318      	CGC_v.96  	neg       
KIF5B          	CD        	chr10:32009010-32056431       	CGC_v.96  	neg       
KIT            	CD        	chr4:54657918-54740715        	CGC_v.96  	pos       
KLF4           	CD        	chr9:107484852-107489646      	CGC_v.96  	neg       
KLF6           	CD        	chr10:3775996-3785275         	CGC_v.96  	neg       
KLK2           	CD        	chr19:50873249-50880567       	CGC_v.96  	pos       
KMT2A          	CD        	chr11:118436490-118526832     	CGC_v.96  	pos       
KMT2C          	CD        	chr7:152134925-152436005      	CGC_v.96  	neg       
KMT2D          	CD        	chr12:49018975-49055324       	CGC_v.96  	neg       
KNL1           	CD        	chr15:40594020-40664342       	CGC_v.96  	pos       
KNSTRN         	CD        	chr15:40382721-40394245       	CGC_v.96  	pos       
KRAS           	CD        	chr12:25209431-25250803       	CGC_v.96  	neg       
KTN1           	CD        	chr14:55580317-55684579       	CGC_v.96  	pos       
LARP4B         	CD        	chr10:806914-931705           	CGC_v.96  	neg       
LASP1          	CD        	chr17:38869859-38921770       	CGC_v.96  	pos       
LATS1          	CD        	chr6:149658153-149718256      	CGC_v.96  	neg       
LATS2          	CD        	chr13:20973032-21061547       	CGC_v.96  	neg       
LCK            	CD        	chr1:32251239-32286165        	CGC_v.96  	pos       
LCP1           	CD        	chr13:46125920-46211348       	CGC_v.96  	neg       
LEF1           	CD        	chr4:108047545-108168422      	CGC_v.96  	neg       
LEPROTL1       	CD        	chr8:30095480-30138348        	CGC_v.96  	pos       
LHFPL6         	CD        	chr13:39342892-39603171       	CGC_v.96  	neg       
LIFR           	CD        	chr5:38474963-38595404        	CGC_v.96  	neg       
LMNA           	CD        	chr1:156114707-156140089      	CGC_v.96  	pos       
LMO1           	CD        	chr11:8224304-8263858         	CGC_v.96  	neg       
LMO2           	CD        	chr11:33858576-33892289       	CGC_v.96  	neg       
LPP            	CD        	chr3:188212933-188890671      	CGC_v.96  	pos       
LRIG3          	CD        	chr12:58872149-58920522       	CGC_v.96  	neg       
LRP1B          	CD        	chr2:140231423-142131701      	CGC_v.96  	neg       
LSM14A         	CD        	chr19:34172566-34229515       	CGC_v.96  	pos       
LYL1           	CD        	chr19:13099033-13102867       	CGC_v.96  	neg       
LYN            	CD        	chr8:55879813-56010572        	CGC_v.96  	pos       
